id,symbol,type,opened,closed,avgCost,avgClosePrice,closingPnl,maxOpenInterest,closedVolume,isolated,side,status,updateTime
1497614,SANDUSDT,UM,1.70226E+12,1.70238E+12,0.4465,0.50069217,24.2239,447,447,Cross,Long,All Closed,1.70238E+12
1497077,ETHUSDT,UM,1.70226E+12,1.70226E+12,2270.6,2160.62,-9.67824,0.088,0.088,Cross,Long,All Closed,1.70226E+12
1496402,BANDUSDT,UM,1.70226E+12,1.70226E+12,1.59,1.42,-32.062,188.6,188.6,Cross,Long,All Closed,1.70226E+12
1496033,STXUSDT,UM,1.70226E+12,1.70238E+12,0.84652569,0.93935499,43.72259995,471,471,Cross,Long,All Closed,1.70238E+12
1495269,DOTUSDT,UM,1.70226E+12,1.70226E+12,6.822,6.336,-14.2398,29.3,29.3,Cross,Long,All Closed,1.70226E+12
1494981,ANKRUSDT,UM,1.70226E+12,1.70226E+12,0.02660779,0.02451443,-31.46737998,15032,15032,Cross,Long,All Closed,1.70226E+12
1494824,NEARUSDT,UM,1.70226E+12,1.70226E+12,2.369,2.236,-11.172,84,84,Cross,Long,All Closed,1.70226E+12
1494799,ROSEUSDT,UM,1.70216E+12,1.70226E+12,0.08215748,0.07694,-25.39346999,4867,4867,Cross,Long,All Closed,1.70226E+12
1493960,OCEANUSDT,UM,1.70226E+12,1.70226E+12,0.48554326,0.45327412,-26.55749999,823,823,Cross,Long,All Closed,1.70226E+12
1493941,STORJUSDT,UM,1.70226E+12,1.70226E+12,0.6713,0.6217,-14.7312,297,297,Cross,Long,All Closed,1.70226E+12
1490743,SOLUSDT,UM,1.70216E+12,1.70226E+12,71.56,71.471,-0.534,6,6,Cross,Long,All Closed,1.70226E+12
1483532,BTCUSDT,UM,1.70211E+12,1.70226E+12,43452.075,42786.35,-29.29189997,0.033,0.044,Cross,Long,All Closed,1.70226E+12
1450712,1000LUNCUSDT,UM,1.70213E+12,1.70226E+12,0.18652933,0.19657624,21.54056997,2144,2144,Cross,Long,All Closed,1.70226E+12
1386543,BANDUSDT,UM,1.70211E+12,1.70216E+12,1.6845,1.6336,-6.04183,118.7,118.7,Cross,Long,All Closed,1.70216E+12
1385709,NEARUSDT,UM,1.70211E+12,1.70216E+12,2.528,2.442,-6.794,79,79,Cross,Long,All Closed,1.70216E+12
1368902,SOLUSDT,UM,1.70211E+12,1.70214E+12,75.617,72.791,-5.652,2,2,Cross,Long,All Closed,1.70214E+12
1288818,BTCUSDT,UM,1.70204E+12,1.70208E+12,43725.63333,44170,14.6641,0.033,0.033,Cross,Long,All Closed,1.70208E+12
1239890,SOLUSDT,UM,1.70191E+12,1.70204E+12,61.7,73.1,34.2,3,3,Cross,Long,All Closed,1.70204E+12
1239889,BCHUSDT,UM,1.70194E+12,1.70204E+12,242.18,249.21,5.79975,0.825,0.825,Cross,Long,All Closed,1.70204E+12
1239888,BTCUSDT,UM,1.70201E+12,1.70204E+12,43442.6,43701.8,2.8512,0.011,0.011,Cross,Long,All Closed,1.70204E+12
1239887,ANKRUSDT,UM,1.70186E+12,1.70204E+12,0.02711,0.02825,8.40978,7377,7377,Cross,Long,All Closed,1.70204E+12
