,symbol
0,BTCUSDT
1,ETHUSDT
2,BCHUSDT
3,XRPUSDT
4,EOSUSDT
5,LTCUSDT
6,TRXUSDT
7,ETCUSDT
8,LINKUSDT
9,XLMUSDT
10,ADAUSDT
11,XMRUSDT
12,DASHUSDT
13,ZECUSDT
14,XTZUSDT
15,BNBUSDT
16,ATOMUSDT
17,ONTUSDT
18,IOTAUSDT
19,BATUSDT
20,VETUSDT
21,NEOUSDT
22,QTUMUSDT
23,IOSTUSDT
24,THETAUSDT
25,ALGOUSDT
26,ZILUSDT
27,KNCUSDT
28,ZRXUSDT
29,COMPUSDT
30,OMGUSDT
31,DOGEUSDT
32,SXPUSDT
33,KAVAUSDT
34,BANDUSDT
35,RLCUSDT
36,WAVESUSDT
37,MKRUSDT
38,SNXUSDT
39,DOTUSDT
40,DEFIUSDT
41,YFIUSDT
42,BALUSDT
43,CRVUSDT
44,TRBUSDT
45,RUNEUSDT
46,SUSHIUSDT
47,SRMUSDT
48,EGLDUSDT
49,SOLUSDT
50,ICXUSDT
51,STORJUSDT
52,BLZUSDT
53,UNIUSDT
54,AVAXUSDT
55,FTMUSDT
56,HNTUSDT
57,ENJUSDT
58,FLMUSDT
59,TOMOUSDT
60,RENUSDT
61,KSMUSDT
62,NEARUSDT
63,AAVEUSDT
64,FILUSDT
65,RSRUSDT
66,LRCUSDT
67,MATICUSDT
68,OCEANUSDT
69,CVCUSDT
70,BELUSDT
71,CTKUSDT
72,AXSUSDT
73,ALPHAUSDT
74,ZENUSDT
75,SKLUSDT
76,GRTUSDT
77,1INCHUSDT
78,BTCBUSD
79,CHZUSDT
80,SANDUSDT
81,ANKRUSDT
82,BTSUSDT
83,LITUSDT
84,UNFIUSDT
85,REEFUSDT
86,RVNUSDT
87,SFPUSDT
88,XEMUSDT
89,BTCSTUSDT
90,COTIUSDT
91,CHRUSDT
92,MANAUSDT
93,ALICEUSDT
94,HBARUSDT
95,ONEUSDT
96,LINAUSDT
97,STMXUSDT
98,DENTUSDT
99,CELRUSDT
100,HOTUSDT
101,MTLUSDT
102,OGNUSDT
103,NKNUSDT
104,SCUSDT
105,DGBUSDT
106,1000SHIBUSDT
107,BAKEUSDT
108,GTCUSDT
109,ETHBUSD
110,BTCDOMUSDT
111,BNBBUSD
112,ADABUSD
113,XRPBUSD
114,IOTXUSDT
115,DOGEBUSD
116,AUDIOUSDT
117,RAYUSDT
118,C98USDT
119,MASKUSDT
