open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1700358060000,0.697,0.698,0.696,0.698,31353.2,1700358119999,21855.3617,63,28743.2,20036.5007,0
1700358120000,0.697,0.698,0.697,0.697,7058.9,1700358179999,4926.1663,45,6113.0,4266.874,0
1700358180000,0.698,0.699,0.698,0.698,46051.4,1700358239999,32147.098,176,42858.0,29918.1048,0
1700358240000,0.699,0.7,0.698,0.699,99272.8,1700358299999,69392.0053,150,95223.6,66562.1689,0
1700358300000,0.699,0.701,0.699,0.7,57791.6,1700358359999,40453.7771,237,52664.2,36865.4787,0
1700358360000,0.7,0.701,0.699,0.699,203454.0,1700358419999,142417.4906,168,31442.1,22012.8513,0
1700358420000,0.7,0.701,0.699,0.7,98130.1,1700358479999,68689.2588,82,49435.5,34605.0549,0
1700358480000,0.7,0.702,0.7,0.7,278052.2,1700358539999,194894.4431,327,183467.7,128613.1987,0
1700358540000,0.701,0.702,0.7,0.702,78482.4,1700358599999,55057.1805,300,72261.5,50697.0843,0
1700358600000,0.702,0.702,0.7,0.701,139560.3,1700358659999,97850.4442,164,49450.6,34688.3138,0
1700358660000,0.702,0.702,0.701,0.702,1412.4,1700358719999,991.2203,13,1127.9,791.7858,0
1700358720000,0.702,0.702,0.701,0.702,86968.0,1700358779999,61050.8197,134,33703.3,23659.7166,0
1700358780000,0.702,0.703,0.701,0.703,31667.2,1700358839999,22230.7546,64,28457.6,19977.6874,0
1700358840000,0.703,0.703,0.702,0.702,254396.7,1700358899999,178593.9168,219,103800.0,72875.0334,0
1700358900000,0.702,0.703,0.702,0.702,6673.9,1700358959999,4686.7452,30,1667.4,1172.1822,0
1700358960000,0.703,0.703,0.702,0.702,105051.7,1700359019999,73837.9084,232,65858.7,46298.6661,0
1700359020000,0.703,0.704,0.703,0.703,102511.6,1700359079999,72075.1333,130,56578.7,39784.3046,0
1700359080000,0.702,0.704,0.702,0.704,15586.7,1700359139999,10957.122,30,12412.4,8726.0232,0
1700359140000,0.703,0.703,0.702,0.703,36289.3,1700359199999,25504.7613,35,3530.4,2481.8712,0
1700359200000,0.702,0.703,0.701,0.701,65942.8,1700359259999,46304.8471,164,16567.0,11644.31,0
1700359260000,0.701,0.703,0.701,0.703,218631.3,1700359319999,153478.7394,150,159973.2,112301.6182,0
1700359320000,0.702,0.704,0.702,0.704,179356.7,1700359379999,126097.0383,242,115603.3,81281.0962,0
1700359380000,0.703,0.704,0.703,0.703,106825.4,1700359439999,75125.6261,379,53846.4,37881.3891,0
1700359440000,0.703,0.704,0.702,0.704,136054.8,1700359499999,95640.2689,134,74400.8,52305.0311,0
1700359500000,0.703,0.704,0.702,0.703,132247.5,1700359559999,92963.7589,95,30433.6,21398.1139,0
1700359560000,0.703,0.704,0.703,0.703,7940.4,1700359619999,5583.0008,11,899.6,633.3184,0
1700359620000,0.704,0.704,0.703,0.704,9630.5,1700359679999,6777.7675,201,7526.0,5298.304,0
1700359680000,0.704,0.705,0.703,0.703,160126.7,1700359739999,112729.1766,425,103834.9,73118.0768,0
1700359740000,0.703,0.705,0.703,0.703,41893.9,1700359799999,29494.296,54,16905.3,11904.1721,0
1700359800000,0.704,0.704,0.703,0.703,118387.5,1700359859999,83234.0976,179,12490.9,8788.7878,0
1700359860000,0.702,0.703,0.702,0.702,5824.3,1700359919999,4089.3689,9,710.3,499.3409,0
1700359920000,0.702,0.703,0.702,0.702,3893.9,1700359979999,2733.589,10,71.2,50.0536,0
1700359980000,0.702,0.703,0.701,0.701,61620.7,1700360039999,43253.5557,194,1140.0,800.7183,0
1700360040000,0.702,0.702,0.701,0.701,7444.1,1700360099999,5221.5691,20,3255.0,2285.01,0
1700360100000,0.701,0.703,0.701,0.701,257160.4,1700360159999,180550.2106,212,180673.5,126858.1446,0
1700360160000,0.701,0.701,0.701,0.701,7917.3,1700360219999,5550.0273,9,0.0,0.0,0
1700360220000,0.702,0.702,0.701,0.701,63167.8,1700360279999,44281.1624,202,4514.9,3165.4795,0
1700360280000,0.7,0.701,0.7,0.7,2940.6,1700360339999,2059.3907,15,970.7,680.4607,0
1700360340000,0.7,0.7,0.7,0.7,1450.1,1700360399999,1015.07,13,0.0,0.0,0
1700360400000,0.7,0.702,0.7,0.701,208842.5,1700360459999,146428.9417,213,158644.7,111241.9808,0
1700360460000,0.701,0.702,0.7,0.702,257408.4,1700360519999,180328.5917,682,85154.0,59669.3192,0
1700360520000,0.701,0.703,0.701,0.701,155217.5,1700360579999,108965.1215,161,66877.8,46951.2153,0
1700360580000,0.701,0.702,0.701,0.701,3111.6,1700360639999,2182.0972,9,865.6,607.6512,0
1700360640000,0.701,0.703,0.701,0.703,136038.4,1700360699999,95499.7439,58,134973.6,94753.3104,0
1700360700000,0.702,0.704,0.702,0.703,80805.0,1700360759999,56805.8285,170,37924.7,26661.5769,0
1700360760000,0.703,0.704,0.702,0.703,60938.0,1700360819999,42833.0076,65,11205.1,7877.1964,0
1700360820000,0.702,0.704,0.702,0.702,136156.9,1700360879999,95721.5202,90,27103.2,19057.9789,0
1700360880000,0.703,0.704,0.703,0.703,106227.0,1700360939999,74678.2391,94,54296.5,38171.0976,0
1700360940000,0.704,0.705,0.704,0.705,77317.6,1700360999999,54432.0014,413,73562.5,51788.411,0
1700361000000,0.704,0.705,0.703,0.703,324070.4,1700361059999,228148.1437,242,147386.1,103765.5617,0
1700361060000,0.703,0.705,0.703,0.705,56370.3,1700361119999,39705.3686,125,53753.9,37865.1301,0
1700361120000,0.705,0.705,0.703,0.703,219684.5,1700361179999,154655.1337,205,47657.3,33553.9306,0
1700361180000,0.704,0.706,0.704,0.705,107082.5,1700361239999,75464.4386,259,104249.6,73468.9408,0
1700361240000,0.706,0.706,0.705,0.706,79768.4,1700361299999,56315.8012,232,37086.4,26182.9984,0
1700361300000,0.706,0.706,0.705,0.706,12281.9,1700361359999,8665.2045,41,6465.0,4564.29,0
1700361360000,0.705,0.706,0.705,0.705,127137.6,1700361419999,89757.7951,98,21541.3,15208.1578,0
1700361420000,0.705,0.706,0.705,0.705,6932.1,1700361479999,4887.392,30,261.5,184.619,0
1700361480000,0.705,0.706,0.704,0.706,109246.7,1700361539999,77018.2957,179,34850.4,24569.8482,0
