timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1680393600000,0.37590,0.38650,0.35070,0.35880,113304633,1680479999999,42003517.83060,178510,52897294,19629342.12870,0
1680480000000,0.35890,0.36430,0.34080,0.35440,90424669,1680566399999,32033930.36280,157887,42105529,14921740.26220,0
1680566400000,0.35440,0.36250,0.34800,0.35980,51453089,1680652799999,18334793.98710,102799,24431353,8706188.59690,0
1680652800000,0.35970,0.37190,0.35320,0.36280,65555189,1680739199999,23824389.32600,126295,32817693,11929428.98930,0
1680739200000,0.36290,0.36780,0.35050,0.35590,45832119,1680825599999,16345123.83350,97192,22102920,7884275.96960,0
1680825600000,0.35580,0.35840,0.34810,0.35300,26911634,1680911999999,9503672.09330,66767,12535133,4426931.77350,0
1680912000000,0.35310,0.35880,0.34560,0.34830,28473663,1680998399999,10029755.79410,61967,13435833,4735451.45630,0
1680998400000,0.34840,0.35420,0.34180,0.35120,27214182,1681084799999,9444570.60770,63610,13547639,4701893.44800,0
1681084800000,0.35130,0.35980,0.34680,0.35930,37338729,1681171199999,13170148.35110,74794,17963730,6335632.09510,0
1681171200000,0.35920,0.36270,0.35580,0.35910,26342071,1681257599999,9461643.94740,53944,12427488,4465028.54380,0
