timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1680393600000,21.0840,21.3260,20.2340,20.5170,1272075,1680479999999,26387606.9190,93989,614406,12749536.4080,0
1680480000000,20.5200,20.9830,19.9860,20.4540,2506010,1680566399999,51077557.0300,175746,1254996,25584505.5750,0
1680566400000,20.4560,21.2680,20.2930,20.9150,1656249,1680652799999,34440930.4000,113195,838468,17440217.0190,0
1680652800000,20.9150,21.3540,20.5620,20.9670,1699200,1680739199999,35673618.3130,124950,842770,17695582.7060,0
1680739200000,20.9650,20.9920,20.3900,20.6240,1095822,1680825599999,22663315.6160,81626,544063,11253694.4110,0
1680825600000,20.6230,20.7820,20.2280,20.4580,777996,1680911999999,15907601.4670,59557,363583,7435937.7920,0
1680912000000,20.4550,20.7300,19.8560,20.0360,722827,1680998399999,14692429.4750,51036,332715,6771192.8570,0
1680998400000,20.0370,20.4430,19.8730,20.2930,739258,1681084799999,14908399.1580,55618,373761,7538621.5140,0
1681084800000,20.2930,20.9630,20.0760,20.9040,1020841,1681171199999,20897745.0210,73820,521012,10664382.4680,0
1681171200000,20.9040,23.5120,20.8290,23.4350,3285808,1681257599999,73844691.0720,205360,1653418,37159933.3310,0
